@code{.c}
================================================
  NLOC    CCN   token  PARAM  length  location
------------------------------------------------
       3      1     16      1       3 QHsm_state@416-418@..\include\qep.h
       3      1     15      1       3 QEQueue_getNFree@311-313@..\include\qequeue.h
       3      1     15      1       3 QEQueue_getNMin@328-330@..\include\qequeue.h
       3      1     21      1       3 QEQueue_isEmpty@347-349@..\include\qequeue.h
       5      2     33      1       8 QPSet_setEmpty@246-253@..\include\qf.h
       4      3     44      1       7 QPSet_isEmpty@256-262@..\include\qf.h
       4      3     44      1       7 QPSet_notEmpty@265-271@..\include\qf.h
       8      3     95      2      11 QPSet_hasElement@274-284@..\include\qf.h
      11      3    105      2      14 QPSet_insert@287-300@..\include\qf.h
      12      3    117      2      15 QPSet_remove@303-317@..\include\qf.h
       6      3     56      1       9 QPSet_findMax@320-328@..\include\qf.h
       6      1     20      2       6 QF_psInit@1482-1487@..\include\qf.h
       3      1     20      1       3 QEvt_refCtr_inc_@181-183@..\include\qf_pkg.h
       3      1     20      1       3 QEvt_refCtr_dec_@191-193@..\include\qf_pkg.h
      14      3     67      1      14 QS_rxPut@895-908@..\include\qs.h
       7      1     33      3       7 QHsm_reservedEvt_@88-94@..\src\qf\qep_hsm.c
      18      3    101      2      23 QHsm_isIn@107-129@..\src\qf\qep_hsm.c
      22      4    125      2      30 QHsm_childState@133-162@..\src\qf\qep_hsm.c
      12      2     57      2      14 QHsm_ctor@166-179@..\src\qf\qep_hsm.c
       7      1     29      2       7 QHsm_top@183-189@..\src\qf\qep_hsm.c
      55     10    386      3      78 QHsm_init_@193-270@..\src\qf\qep_hsm.c
     101     15    631      3     148 QHsm_dispatch_@274-421@..\src\qf\qep_hsm.c
       3      1     16      1       3 QHsm_getStateHandler_@426-428@..\src\qf\qep_hsm.c
      91     15    480      3     132 QHsm_tran_@433-564@..\src\qf\qep_hsm.c
      14      3     79      3      17 QHsm_state_entry_@568-584@..\src\qf\qep_hsm.c
      20      3     96      3      23 QHsm_state_exit_@588-610@..\src\qf\qep_hsm.c
      15      3     69      2      16 QMsm_isInState@80-95@..\src\qf\qep_msm.c
       3      1     17      1       3 QMsm_stateObj@99-101@..\src\qf\qep_msm.c
      31      7    153      2      37 QMsm_childStateObj@105-141@..\src\qf\qep_msm.c
      12      2     60      2      15 QMsm_ctor@145-159@..\src\qf\qep_msm.c
      27      4    202      3      41 QMsm_init_@163-203@..\src\qf\qep_msm.c
     118     19    740      3     168 QMsm_dispatch_@207-374@..\src\qf\qep_msm.c
       3      1     18      1       3 QMsm_getStateHandler_@379-381@..\src\qf\qep_msm.c
      55      9    317      3      70 QMsm_execTatbl_@386-455@..\src\qf\qep_msm.c
      24      4    132      4      33 QMsm_exitToTranSource_@459-491@..\src\qf\qep_msm.c
      45      6    243      3      56 QMsm_enterHistory_@495-550@..\src\qf\qep_msm.c
      82     14    431      4     121 QActive_post_@72-192@..\src\qf\qf_actq.c
      44      7    266      2      64 QActive_postLIFO_@198-261@..\src\qf\qf_actq.c
      34      3    233      1      44 QActive_get_@267-310@..\src\qf\qf_actq.c
      10      2     60      1      11 QF_getQueueMin@317-327@..\src\qf\qf_actq.c
      16      2     79      2      20 QTicker_ctor@347-366@..\src\qf\qf_actq.c
      10      1     45      3      11 QTicker_init_@370-380@..\src\qf\qf_actq.c
      16      2     90      3      18 QTicker_dispatch_@384-401@..\src\qf\qf_actq.c
      30      2    156      4      39 QTicker_post_@405-443@..\src\qf\qf_actq.c
       8      1     30      2       9 QTicker_postLIFO_@447-455@..\src\qf\qf_actq.c
      15      1     84      3      17 QActive_defer@66-82@..\src\qf\qf_defer.c
      34      3    169      2      54 QActive_recall@88-141@..\src\qf\qf_defer.c
      13      3     68      2      15 QActive_flushDeferred@147-161@..\src\qf\qf_defer.c
      17      3    116      3      26 QF_poolInit@87-112@..\src\qf\qf_dyn.c
       3      1     17      1       3 QF_poolGetMaxBlockSize@116-118@..\src\qf\qf_dyn.c
       9      3     59      1      12 QF_getPoolMin@122-133@..\src\qf\qf_dyn.c
      39      7    234      3      57 QF_newX_@137-193@..\src\qf\qf_dyn.c
